address,district,neighbourhood,property_type,bedrooms,house_age_years,distance_to_western_km,price,listing_url
"32-499 Sophia Crescent, London North, ON",London North,North I,Townhouse,3.0,8.0,4.36,515900,https://www.zolo.ca/london-north-real-estate/499-sophia-crescent/32
"202-600 Grenfell Drive, London North, ON",London North,North C,Condo,2.0,,3.53,319900,https://www.zolo.ca/london-north-real-estate/600-grenfell-drive/202
"823 Cedarpark Way, London North, ON",London North,North D,House,4.0,10.0,6.38,799900,https://www.zolo.ca/london-north-real-estate/823-cedarpark-way
"719 Elias Street, London East, ON",London East,East G,Townhouse,4.0,100.0,3.9,375000,https://www.zolo.ca/london-east-real-estate/719-elias-street
"2169 Jack Nash Drive, London South, ON",London South,South A,House,3.0,,7.23,829900,https://www.zolo.ca/london-south-real-estate/2169-jack-nash-drive
"6-675 Wonderland Road S, London South, ON",London South,South M,Condo,1.0,40.0,6.5,234900,https://www.zolo.ca/london-south-real-estate/675-wonderland-road-south/6
"20-2089 Beaverbrook Avenue, London North, ON",London North,North M,Townhouse,4.0,,4.09,499900,https://www.zolo.ca/london-north-real-estate/2089-beaverbrook-avenue/20
"203-1030 Coronation Drive, London North, ON",London North,North I,Condo,2.0,,4.63,449900,https://www.zolo.ca/london-north-real-estate/1030-coronation-drive/203
"1 & 2-737 William Street N, London East, ON",London East,East F,Townhouse,3.0,,2.99,559900,https://www.zolo.ca/london-east-real-estate/737-william-street-north/1--2
"52 Birchmount Walk, London South, ON",London South,South L,House,4.0,40.0,7.97,1499900,https://www.zolo.ca/london-south-real-estate/52-birchmount-walk
"302-563 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,75.0,5.08,255000,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/302
"3046 Heardcreek Trail, London North, ON",London North,North S,House,3.0,,5.06,799000,https://www.zolo.ca/london-north-real-estate/3046-heardcreek-trail
"109-320 Sugarcreek Trail, London North, ON",London North,North N,Condo,2.0,,3.1,374900,https://www.zolo.ca/london-north-real-estate/320-sugarcreek-trail/109
"318 Admiral Drive, London East, ON",London East,East A,Townhouse,3.0,,9.17,499000,https://www.zolo.ca/london-east-real-estate/318-admiral-drive
"9-1853 Blackwater Road, London North, ON",London North,North C,Townhouse,2.0,,3.88,549900,https://www.zolo.ca/london-north-real-estate/1853-blackwater-road/9
"21-861 Shelborne Street, London South, ON",London South,South J,Townhouse,2.0,23.0,7.71,524900,https://www.zolo.ca/london-south-real-estate/861-shelborne-street/21
"2334 Meadowgate Boulevard, London South, ON",London South,South U,House,4.0,,9.28,734900,https://www.zolo.ca/london-south-real-estate/2334-meadowgate-boulevard
"21-190 Fleming Drive, London East, ON",London East,East D,Townhouse,5.0,,6.12,349900,https://www.zolo.ca/london-east-real-estate/190-fleming-drive/21
"3183 Pincombe Drive, London South, ON",London South,South W,House,3.0,23.0,8.1,799999,https://www.zolo.ca/london-south-real-estate/3183-pincombe-drive
"159 Montebello Drive, London East, ON",London East,East O,House,5.0,,8.48,779999,https://www.zolo.ca/london-east-real-estate/159-montebello-drive
"109-1680 Evans Boulevard, London South, ON",London South,South U,Townhouse,3.0,,9.09,394836,https://www.zolo.ca/london-south-real-estate/1680-evans-boulevard/109
"111-1680 Evans Boulevard, London South, ON",London South,South U,Townhouse,3.0,,9.09,416890,https://www.zolo.ca/london-south-real-estate/1680-evans-boulevard/111
"26-631 Cranbrook Road, London South, ON",London South,South L,Townhouse,3.0,,7.36,379000,https://www.zolo.ca/london-south-real-estate/631-cranbrook-road/26
"1625 Valhalla Street, London North, ON",London North,North F,House,2.0,10.0,4.1,629900,https://www.zolo.ca/london-north-real-estate/1625-valhalla-street
"501-340 Sugarcreek Trail, London North, ON",London North,North N,Condo,2.0,,3.15,465000,https://www.zolo.ca/london-north-real-estate/340-sugarcreek-trail/501
"3128 Turner Crescent, London South, ON",London South,South U,House,5.0,2.0,10.72,879999,https://www.zolo.ca/london-south-real-estate/3128-turner-crescent
"58 Harcroft Crescent, London South, ON",London South,South Q,House,3.0,,7.4,499900,https://www.zolo.ca/london-south-real-estate/58-harcroft-crescent
"1236 Southdale Road E, London South, ON",London South,South S,Townhouse,6.0,0.0,9.31,899900,https://www.zolo.ca/london-south-real-estate/1236-southdale-road-east
"713 Thistlewood Drive, London North, ON",London North,North C,House,3.0,23.0,4.38,749900,https://www.zolo.ca/london-north-real-estate/713-thistlewood-drive
"56-595 Third Street, London East, ON",London East,East H,Townhouse,3.0,,6.68,299900,https://www.zolo.ca/london-east-real-estate/595-third-street/56
"404-570 William Street, London East, ON",London East,East F,Condo,2.0,,3.53,300000,https://www.zolo.ca/london-east-real-estate/570-william-street/404
"51 Cherish Court, London South, ON",London South,South C,House,4.0,40.0,5.71,799900,https://www.zolo.ca/london-south-real-estate/51-cherish-court
"24-5 Cadeau Terrace, London, ON",London,South B,Townhouse,3.0,,7.81,549900,https://www.zolo.ca/london-real-estate/5-cadeau-terrace/24
"1705-389 Dundas Street W, London East, ON",London East,East K,Condo,1.0,40.0,3.78,195555,https://www.zolo.ca/london-east-real-estate/389-dundas-street-west/1705
"2149 Tribalwood Street N, London North, ON",London North,North E,House,3.0,10.0,4.14,674900,https://www.zolo.ca/london-north-real-estate/2149-tribalwood-street-north
"62-1220 Royal York Road, London North, ON",London North,North L,Townhouse,3.0,75.0,5.41,439900,https://www.zolo.ca/london-north-real-estate/1220-royal-york-road/62
"7-1755 Louise Boulevard, London North, ON",London North,North R,Townhouse,2.0,23.0,2.21,611000,https://www.zolo.ca/london-north-real-estate/1755-louise-boulevard/7
"1303-250 Pall Mall Street, London East, ON",London East,East F,Condo,2.0,,2.65,549900,https://www.zolo.ca/london-east-real-estate/250-pall-mall-street/1303
"1129 Sunningdale Road E, London North, ON",London North,North C,House,4.0,,4.82,789900,https://www.zolo.ca/london-north-real-estate/1129-sunningdale-road-east
"1402 Hastings Drive, London North, ON",London North,North G,House,3.0,75.0,1.97,739999,https://www.zolo.ca/london-north-real-estate/1402-hastings-drive
"937 Lennon Way, London North, ON",London North,North E,House,6.0,10.0,4.54,959900,https://www.zolo.ca/london-north-real-estate/937-lennon-way
"809-127 Belmont Drive, London South, ON",London South,South O,Condo,2.0,40.0,6.95,349900,https://www.zolo.ca/london-south-real-estate/127-belmont-drive/809
"809-505 Talbot Street, London East, ON",London East,East F,Condo,2.0,,3.06,659900,https://www.zolo.ca/london-east-real-estate/505-talbot-street/809
"567 Fieldgate Circle, London East, ON",London East,East I,House,3.0,23.0,9.47,499999,https://www.zolo.ca/london-east-real-estate/567-fieldgate-circle
"708-563 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,,5.08,249900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/708
"1004-563 Mornington Avenue, London East, ON",London East,East G,Condo,2.0,,5.08,159900,https://www.zolo.ca/london-east-real-estate/563-mornington-avenue/1004
"1042 Melsetter Way, London North, ON",London North,North S,House,6.0,10.0,3.9,1398000,https://www.zolo.ca/london-north-real-estate/1042-melsetter-way
"404-1510 Richmond Street, London North, ON",London North,North G,Condo,2.0,,1.14,399900,https://www.zolo.ca/london-north-real-estate/1510-richmond-street/404
"302-323 Colborne Street, London East, ON",London East,East K,Condo,1.0,40.0,3.97,249900,https://www.zolo.ca/london-east-real-estate/323-colborne-street/302
"904 Dame Street, London East, ON",London East,East L,House,3.0,,5.52,409900,https://www.zolo.ca/london-east-real-estate/904-dame-street
"3074 Turner Crescent, London South, ON",London South,South U,House,3.0,0.0,10.66,799900,https://www.zolo.ca/london-south-real-estate/3074-turner-crescent
"21-4067 Colonel Talbot Road, London South, ON",London South,South V,Townhouse,3.0,13.0,11.0,679000,https://www.zolo.ca/london-south-real-estate/4067-colonel-talbot-road/21
"46-99 Edgevalley Road, London East, ON",London East,East A,Townhouse,2.0,40.0,4.88,474900,https://www.zolo.ca/london-east-real-estate/99-edgevalley-road/46
"2244 Red Thorne Avenue, London South, ON",London South,South V,House,7.0,2.0,10.09,1289000,https://www.zolo.ca/london-south-real-estate/2244-red-thorne-avenue
"111-731 Deveron Crescent, London South, ON",London South,South T,Condo,2.0,,8.31,195000,https://www.zolo.ca/london-south-real-estate/731-deveron-crescent/111
"1301 Michael Circle, London East, ON",London East,East D,Townhouse,4.0,10.0,5.49,485000,https://www.zolo.ca/london-east-real-estate/1301-michael-circle
"7 Northcrest Drive, London North, ON",London North,North B,House,3.0,75.0,2.89,999000,https://www.zolo.ca/london-north-real-estate/7-northcrest-drive
"212 Rathowen Street, London, ON",London,North N,House,4.0,75.0,2.27,599900,https://www.zolo.ca/london-real-estate/212-rathowen-street
